#Columns,16,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,SpC_microsiemens_per_cm,pH,Temperature_degC,Respiration_Rate_mg_DO_per_L_per_H,Respiration_Rate_mg_DO_per_kg_per_H,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Methods_Deviation
N/A,EV_001_INC-W1,10.58052/IEWDR023A,Sediment,1118,6.33,20.5,-252.9,-1174.147,-9999,-9999,-9999,-9999,-9999,-9999,0.15,RATE_005
N/A,EV_001_INC-W2,10.58052/IEWDR023A,Sediment,1106,6.6,21,-245.1,-1126.589,-9999,-9999,-9999,-9999,-9999,-9999,0.41,RATE_005
N/A,EV_001_INC-W3,10.58052/IEWDR023A,Sediment,1108,6.71,20.6,-255.99,-1158.965,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.094_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_001_INC-W4,10.58052/IEWDR023A,Sediment,1134,6.42,20.6,-255.99,-1160.911,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.094_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_001_INC-W5,10.58052/IEWDR023A,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_002_INC-D1,10.58052/IEWDR023B,Sediment,338.4,6.03,20.7,-5.216,-19.494,0.991,0.991,0.0021,34,18,36,8.25,N/A
N/A,EV_002_INC-D2,10.58052/IEWDR023B,Sediment,356.2,6.25,20.1,-4.077,-14.994,0.985,0.985,0.0015,64,33,21,8.22,N/A
N/A,EV_002_INC-D3,10.58052/IEWDR023B,Sediment,351.8,6.59,20.8,-5.219,-19.121,0.99,0.989,0.0024,30,16,38,8.38,N/A
N/A,EV_002_INC-D4,10.58052/IEWDR023B,Sediment,356.2,6.57,20.7,-6.469,-23.914,0.987,0.985,0.0042,20,11,43,8.43,N/A
N/A,EV_002_INC-D5,10.58052/IEWDR023B,Sediment,353.5,6.75,20.7,-3.927,-14.463,0.983,0.983,0.0012,104,53,1,9.34,N/A
N/A,EV_002_INC-W1,10.58052/IEWDR023B,Sediment,376.8,6.7,20.7,-243,-899.345,-9999,-9999,-9999,-9999,-9999,-9999,0.48,RATE_005
N/A,EV_002_INC-W2,10.58052/IEWDR023B,Sediment,385,6.73,20.8,-243,-911.206,-9999,-9999,-9999,-9999,-9999,-9999,0.48,RATE_005
N/A,EV_002_INC-W3,10.58052/IEWDR023B,Sediment,382.9,6.72,20.8,-255.99,-941.091,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.094_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_002_INC-W4,10.58052/IEWDR023B,Sediment,390.2,6.85,20.9,-255.99,-952.142,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.094_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_002_INC-W5,10.58052/IEWDR023B,Sediment,378.4,6.71,20.9,-255.99,-921.343,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.094_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_005_INC-D1,10.58052/IEWDR023C,Sediment,1577,7.25,20.5,-240.9,-1154.727,-9999,-9999,-9999,-9999,-9999,-9999,0.76,RATE_005
N/A,EV_005_INC-D2,10.58052/IEWDR023C,Sediment,1546,6.72,20.7,-229.2,-1086.117,-9999,-9999,-9999,-9999,-9999,-9999,1.15,RATE_005
N/A,EV_005_INC-D3,10.58052/IEWDR023C,Sediment,1569,6.61,20.7,-250.2,-1202.663,-9999,-9999,-9999,-9999,-9999,-9999,0.45,RATE_005
N/A,EV_005_INC-D4,10.58052/IEWDR023C,Sediment,1538,6.68,20.6,-262.245,-1241.566,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_005_INC-D5,10.58052/IEWDR023C,Sediment,1530,6.49,20.5,-262.245,-1259.307,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_005_INC-W1,10.58052/IEWDR023C,Sediment,1546,6.38,20.4,-262.245,-1274.381,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_005_INC-W2,10.58052/IEWDR023C,Sediment,1493,6.81,20.5,-228.3,-1097.645,-9999,-9999,-9999,-9999,-9999,-9999,1.18,RATE_005
N/A,EV_005_INC-W3,10.58052/IEWDR023C,Sediment,1481,6.77,20.7,-241.8,-1161.171,-9999,-9999,-9999,-9999,-9999,-9999,0.73,RATE_005
N/A,EV_005_INC-W4,10.58052/IEWDR023C,Sediment,1528,6.75,20.7,-262.245,-1233.612,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|0.05_mg_per_L_Raw_Not_Corrected|0.05mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_005_INC-W5,10.58052/IEWDR023C,Sediment,1389,6.71,20.4,-262.245,-1280.799,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005; INC_010
N/A,EV_006_INC-D1,10.58052/IEWDR023D,Sediment,1196,6.47,20.2,-200.1,-1236.707,-9999,-9999,-9999,-9999,-9999,-9999,2.12,RATE_005
N/A,EV_006_INC-D2,10.58052/IEWDR023D,Sediment,1054,6.68,20.6,-229.8,-1408.809,-9999,-9999,-9999,-9999,-9999,-9999,1.13,RATE_005
N/A,EV_006_INC-D3,10.58052/IEWDR023D,Sediment,1104,6.6,20.6,-201.9,-1233.649,-9999,-9999,-9999,-9999,-9999,-9999,2.06,RATE_005
N/A,EV_006_INC-D4,10.58052/IEWDR023D,Sediment,1095,6.35,20.6,-253.8,-1568.811,-9999,-9999,-9999,-9999,-9999,-9999,0.33,RATE_005
N/A,EV_006_INC-D5,10.58052/IEWDR023D,Sediment,1101,6.34,20.8,-257.1,-1587.953,-9999,-9999,-9999,-9999,-9999,-9999,0.22,RATE_005
N/A,EV_006_INC-W1,10.58052/IEWDR023D,Sediment,1126,6.63,20.8,-203.1,-1252.766,-9999,-9999,-9999,-9999,-9999,-9999,2.02,RATE_005
N/A,EV_006_INC-W2,10.58052/IEWDR023D,Sediment,1118,6.23,20.8,-262.245,-1633.728,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_006_INC-W3,10.58052/IEWDR023D,Sediment,671.2,6.34,20.4,-156.6,-968.056,-9999,-9999,-9999,-9999,-9999,-9999,3.57,RATE_005; INC_012
N/A,EV_006_INC-W4,10.58052/IEWDR023D,Sediment,992.7,6.33,20.5,-190.5,-1194.934,-9999,-9999,-9999,-9999,-9999,-9999,2.44,RATE_005; INC_011
N/A,EV_006_INC-W5,10.58052/IEWDR023D,Sediment,1178,6.21,20.7,-262.245,-1651.501,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_007_INC-D1,10.58052/IEWDR023E,Sediment,908.6,7.29,21.1,-261.6,-1050.475,-9999,-9999,-9999,-9999,-9999,-9999,0.1,RATE_005
N/A,EV_007_INC-D2,10.58052/IEWDR023E,Sediment,927.3,7.32,21.1,-231.9,-929.232,-9999,-9999,-9999,-9999,-9999,-9999,1.09,RATE_005
N/A,EV_007_INC-D3,10.58052/IEWDR023E,Sediment,1019,7.27,21.1,-4.318,-17.689,0.919,0.913,0.0059,28,15,39,7.59,N/A
N/A,EV_007_INC-D4,10.58052/IEWDR023E,Sediment,974.6,7.26,21.1,-4.315,-17.493,0.938,0.934,0.0048,32,17,37,10.88,N/A
N/A,EV_007_INC-D5,10.58052/IEWDR023E,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_007_INC-W1,10.58052/IEWDR023E,Sediment,860.4,8.77,21.1,-252.3,-1053.387,-9999,-9999,-9999,-9999,-9999,-9999,0.41,RATE_005
N/A,EV_007_INC-W2,10.58052/IEWDR023E,Sediment,868.2,7.98,21.1,-221.4,-912.756,-9999,-9999,-9999,-9999,-9999,-9999,1.44,RATE_005
N/A,EV_007_INC-W3,10.58052/IEWDR023E,Sediment,881.5,7.59,21.1,-127.5,-524.696,-9999,-9999,-9999,-9999,-9999,-9999,4.57,RATE_005
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,893.8,7.42,21.1,-252.3,-1060.258,-9999,-9999,-9999,-9999,-9999,-9999,0.41,RATE_005
N/A,EV_007_INC-W5,10.58052/IEWDR023E,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,332.3,7.91,21.2,-1.442,-5.124,0.993,0.993,0.0003,104,53,1,10.89,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,333.4,7.81,20.7,-1.443,-5.138,0.83,0.821,0.0026,36,19,35,11.04,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,333.2,7.91,21.2,-1.561,-5.489,0.984,0.983,0.0005,102,52,2,11.49,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,329.1,8.04,21.1,-1.479,-5.192,0.984,0.984,0.0004,102,52,2,11.27,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,329.3,7.9,21.2,-1.773,-6.214,0.977,0.976,0.0006,102,52,2,13.01,N/A
N/A,EV_008_INC-W1,10.58052/IEWDR023F,Sediment,377.4,8.7,20.8,-126.3,-438.458,-9999,-9999,-9999,-9999,-9999,-9999,4.61,RATE_005
N/A,EV_008_INC-W2,10.58052/IEWDR023F,Sediment,353.5,8.95,21,-143.4,-507.681,-9999,-9999,-9999,-9999,-9999,-9999,4.04,RATE_005
N/A,EV_008_INC-W3,10.58052/IEWDR023F,Sediment,359.5,8.29,21.2,-121.8,-436.757,-9999,-9999,-9999,-9999,-9999,-9999,4.76,RATE_005
N/A,EV_008_INC-W4,10.58052/IEWDR023F,Sediment,344.7,7.99,20.9,-1.569,-5.548,0.74,0.707,0.0055,18,10,44,6.67,N/A
N/A,EV_008_INC-W5,10.58052/IEWDR023F,Sediment,361.1,7.92,21.2,-83.7,-295.89,-9999,-9999,-9999,-9999,-9999,52,6.03,N/A
N/A,EV_009_INC-D1,10.58052/IEWDR023G,Sediment,427.9,7.5,21.1,-2.597,-11.986,0.997,0.997,0.0003,102,52,2,9.84,N/A
N/A,EV_009_INC-D2,10.58052/IEWDR023G,Sediment,481.3,7.38,21.2,-2.756,-12.649,0.996,0.996,0.0004,102,52,2,10.6,N/A
N/A,EV_009_INC-D3,10.58052/IEWDR023G,Sediment,476.1,7.38,21.3,-2.506,-11.421,0.991,0.991,0.0006,102,52,2,9.77,N/A
N/A,EV_009_INC-D4,10.58052/IEWDR023G,Sediment,479.8,7.42,21.1,-2.469,-11.243,0.994,0.994,0.0005,102,52,2,9.48,N/A
N/A,EV_009_INC-D5,10.58052/IEWDR023G,Sediment,480.6,7.35,21.3,-2.898,-12.904,0.994,0.994,0.0006,92,47,7,10.95,N/A
N/A,EV_009_INC-W1,10.58052/IEWDR023G,Sediment,543.7,7.27,21.2,-229.2,-1040.46,-9999,-9999,-9999,-9999,-9999,-9999,1.15,RATE_005
N/A,EV_009_INC-W2,10.58052/IEWDR023G,Sediment,473.6,7.37,21.4,-262.245,-1173.654,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|0.05_mg_per_L_Raw_Not_Corrected|0.05mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_009_INC-W3,10.58052/IEWDR023G,Sediment,553.6,7.43,21.4,-262.245,-1187.52,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_009_INC-W4,10.58052/IEWDR023G,Sediment,503.6,7.38,21.1,-257.1,-1162.976,-9999,-9999,-9999,-9999,-9999,-9999,0.22,RATE_005
N/A,EV_009_INC-W5,10.58052/IEWDR023G,Sediment,528.6,7.28,21.2,-262.245,-1191.067,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-D1,10.58052/IEWDR023H,Sediment,1198,7.31,21.1,-252.3,-1641.805,-9999,-9999,-9999,-9999,-9999,-9999,0.38,RATE_005
N/A,EV_010_INC-D2,10.58052/IEWDR023H,Sediment,1162,7.26,21.2,-262.245,-1728.316,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-D3,10.58052/IEWDR023H,Sediment,1167,7.12,21.2,-262.245,-1701.214,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-D4,10.58052/IEWDR023H,Sediment,1147,7.17,21,-262.245,-1729.208,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-D5,10.58052/IEWDR023H,Sediment,1159,7.13,21.3,-262.245,-1697.353,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-W1,10.58052/IEWDR023H,Sediment,1110,7.11,21.4,-262.245,-1685.678,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-W2,10.58052/IEWDR023H,Sediment,1114,7.1,21.3,-262.245,-1666.763,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-W3,10.58052/IEWDR023H,Sediment,1128,7.11,21.4,-262.245,-1680.548,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-W4,10.58052/IEWDR023H,Sediment,1113,7.19,21.3,-262.245,-1697.708,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_010_INC-W5,10.58052/IEWDR023H,Sediment,1133,7.26,21.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_007
N/A,EV_011_INC-D1,10.58052/IEWDR023I,Sediment,1035,7.25,21,-14.85,-49.785,0.876,0.834,0.0538,8,5,49,9.5,N/A
N/A,EV_011_INC-D2,10.58052/IEWDR023I,Sediment,1056,7,21.1,-8.94,-29.816,0.771,0.694,0.0469,8,5,49,7.93,N/A
N/A,EV_011_INC-D3,10.58052/IEWDR023I,Sediment,972,7.12,21,-11.55,-38.399,0.975,0.973,0.0073,38,20,34,9.73,N/A
N/A,EV_011_INC-D4,10.58052/IEWDR023I,Sediment,829.2,7.36,20.9,-15.539,-50.734,0.988,0.986,0.0118,14,8,46,5.63,N/A
N/A,EV_011_INC-D5,10.58052/IEWDR023I,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_011_INC-W1,10.58052/IEWDR023I,Sediment,777.1,7.05,20.9,-104.1,-345.5,-9999,-9999,-9999,-9999,-9999,52,6.05,N/A
N/A,EV_011_INC-W2,10.58052/IEWDR023I,Sediment,816.3,6.93,21.1,-153.9,-519.59,-9999,-9999,-9999,-9999,-9999,-9999,3.68,RATE_005
N/A,EV_011_INC-W3,10.58052/IEWDR023I,Sediment,870.5,6.81,21,-81.9,-268.441,-9999,-9999,-9999,-9999,-9999,52,5.67,N/A
N/A,EV_011_INC-W4,10.58052/IEWDR023I,Sediment,829.7,6.79,21,-207.3,-678.758,-9999,-9999,-9999,-9999,-9999,-9999,1.9,RATE_005
N/A,EV_011_INC-W5,10.58052/IEWDR023I,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_013_INC-D1,10.58052/IEWDR023K,Sediment,541.5,7.35,20.7,-4.392,-16.534,0.986,0.986,0.0021,36,19,35,7.75,N/A
N/A,EV_013_INC-D2,10.58052/IEWDR023K,Sediment,558.5,7.09,21,-4.143,-15.929,0.983,0.981,0.0024,32,17,37,9.69,N/A
N/A,EV_013_INC-D3,10.58052/IEWDR023K,Sediment,573.7,6.93,21.1,-3.969,-15.099,0.981,0.98,0.0022,36,19,35,10.26,N/A
N/A,EV_013_INC-D4,10.58052/IEWDR023K,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_013_INC-D5,10.58052/IEWDR023K,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_013_INC-W1,10.58052/IEWDR023K,Sediment,484.3,7.17,21,-17.117,-66.135,0.98,0.975,0.0202,10,6,48,5.92,N/A
N/A,EV_013_INC-W2,10.58052/IEWDR023K,Sediment,478,7.25,21,-123,-461.892,-9999,-9999,-9999,-9999,-9999,-9999,4.71,RATE_005
N/A,EV_013_INC-W3,10.58052/IEWDR023K,Sediment,478.5,7.37,21,-29.7,-112.693,0.992,0.985,0.0433,4,3,51,6.31,N/A
N/A,EV_013_INC-W4,10.58052/IEWDR023K,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_013_INC-W5,10.58052/IEWDR023K,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_014_INC-D1,10.58052/IEWDR023L,Sediment,429.3,7.22,20.6,-14.89,-53.545,0.963,0.957,0.0185,16,9,44,10.95,N/A
N/A,EV_014_INC-D2,10.58052/IEWDR023L,Sediment,428.8,7.37,20.7,-22.993,-82.801,0.996,0.995,0.011,12,7,46,11.05,N/A
N/A,EV_014_INC-D3,10.58052/IEWDR023L,Sediment,414.7,7.33,20.7,-10.115,-36.028,0.912,0.902,0.0174,20,11,42,9.3,N/A
N/A,EV_014_INC-D4,10.58052/IEWDR023L,Sediment,419.9,7.13,20.8,-6.685,-24.047,0.972,0.971,0.0034,64,33,20,9.76,N/A
N/A,EV_014_INC-D5,10.58052/IEWDR023L,Sediment,421.5,7.32,20.7,-10.835,-39.403,0.943,0.934,0.0169,16,9,44,8.25,N/A
N/A,EV_014_INC-W1,10.58052/IEWDR023L,Sediment,510.1,7.21,20.6,-262.845,-952.095,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_014_INC-W2,10.58052/IEWDR023L,Sediment,490.2,7.24,20.5,-262.845,-955.028,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_014_INC-W3,10.58052/IEWDR023L,Sediment,519.5,7.08,20.9,-252,-913.167,-9999,-9999,-9999,-9999,-9999,-9999,0.41,RATE_005
N/A,EV_014_INC-W4,10.58052/IEWDR023L,Sediment,521.3,7.15,20.8,-262.845,-933.724,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|0.09_mg_per_L_Raw_Not_Corrected|0.09mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_014_INC-W5,10.58052/IEWDR023L,Sediment,512.3,7.03,21,-262.845,-953.921,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_016_INC-D1,10.58052/IEWDR023N,Sediment,815.5,6.64,21,-236.7,-2860.388,-9999,-9999,-9999,-9999,-9999,-9999,0.93,RATE_005
N/A,EV_016_INC-D2,10.58052/IEWDR023N,Sediment,798.3,6.65,20.7,-258.9,-3153.61,-9999,-9999,-9999,-9999,-9999,-9999,0.19,RATE_005
N/A,EV_016_INC-D3,10.58052/IEWDR023N,Sediment,832.4,6.77,20.9,-252,-3126.604,-9999,-9999,-9999,-9999,-9999,-9999,0.42,RATE_005
N/A,EV_016_INC-D4,10.58052/IEWDR023N,Sediment,843.3,6.55,20.8,-248.7,-3091.38,-9999,-9999,-9999,-9999,-9999,-9999,0.53,RATE_005
N/A,EV_016_INC-D5,10.58052/IEWDR023N,Sediment,858.9,6.69,20.6,-229.5,-2820.662,-9999,-9999,-9999,-9999,-9999,-9999,1.17,RATE_005
N/A,EV_016_INC-W1,10.58052/IEWDR023N,Sediment,821.9,6.74,20.7,-263.145,-3216.731,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|0.01_mg_per_L_Raw_Not_Corrected|0.01mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_016_INC-W2,10.58052/IEWDR023N,Sediment,799.9,6.8,20.8,-263.145,-3241.946,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_016_INC-W3,10.58052/IEWDR023N,Sediment,805.3,6.81,20.8,-254.4,-3156.256,-9999,-9999,-9999,-9999,-9999,-9999,0.34,RATE_005
