Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code
Parent_ID,N/A,The ID associated with the entire kit of supplies and data used by the collaborator to collect data.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
pH,pH,"pH. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Respiration_p_value,N/A,"P value of respiration regression. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Respiration_R_Squared,milligrams per liter per hour,"R-squared of respiration regression. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Respiration_R_Squared_Adj,milligrams per liter per hour,"Adjusted R-squared of respiration regression. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Respiration_Rate_mg_DO_per_kg_per_H,milligrams per kilogram per hour,"Respiration rate in milligrams per kilogram per hour from less than 2 millimeter sediment sample. Samples were normalized to milligrams per kilogram per hour using the dry mass of sediment and mass of water in the incubation vial. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Respiration_Rate_mg_DO_per_L_per_H,milligrams per liter per hour,"Respiration rate in milligrams per liter per hour from less than 2 millimeter sediment sample.  Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
River_Gradient,N/A,General gradient of river. One of the following classes may be selected: relatively flat/gentle gradient (e.g.; valleys) or relatively steep gradient (e.g.; mountainous or hilly terrain).,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Sample_Date,YYYY-MM-DD,Date of sample collection.,date,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Sample_Latitude,decimal degrees WGS1984,Geographic location (latitude) of sampling.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Sample_Longitude,decimal degrees WGS1984,Geographic location (longitude) of sampling.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Sample_Name,N/A,"Name of sample. If the sample name includes the treatment (i.e. ##_###-W or ##_###-D) the row is referring to all of samples of that analysis of a given treatment. Individual samples follow the format of [Parent_ID]_[analysis-specific indicator code]-[treatment + replicate number] (i.e. ##_###_OCN-D1). Not all sample types have replicates. See file ending in ""readme.pdf"" for more details.",text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Sediment,N/A,Estimated dominant sediment type/size class of streambed. Size/type classes include gravel/cobble (>2 millimeters); sand; silt/mud (<0.0625 millimeters); or bedrock (primarily).,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Sediment_Collection_Depth_cm,centimeters,Depth of sediment collection.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Site_ID,N/A,Site ID.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Site_Name,N/A,Name of site.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
SpC_microsiemens_per_cm,microsiemens per centimeter,"Specific conductance. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Standard,N/A,ESS-DIVE Reporting Format (https://ess-dive.lbl.gov/data-reporting-formats/) or other standard applied to the data file.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
State,N/A,State.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_62948_Final_Gravimetric_Moisture_g_per_g,grams per gram,"Standard deviation of final gravimetric moisture in sediment after 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_62948_Initial_Gravimetric_Moisture_g_per_g,grams per gram,"Standard deviation of initial gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_Fe_mg_per_kg,milligrams per kilogram,"Standard deviation of iron (II) data in milligrams per kilogram. For sites with replicates below the below limit of detection (LOD), the lowest LOD from all trays for the study code was divided by two and used for replicates below LOD in standard deviation calculation. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_Fe_mg_per_L,milligrams per liter,"Standard deviation of iron (II) data in milligrams per liter. For sites with replicates below the below limit of detection (LOD), the lowest LOD from all trays for the study code was divided by two and used for replicates below LOD in standard deviation calculation. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_pH,pH,"Standard deviation of pH. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_Respiration_Rate_mg_DO_per_kg_per_H,milligrams per kilogram per hour,"Standard deviation of  respiration rate in milligrams per kilogram per hour. Samples were normalized to milligrams per kilogram per hour using the dry mass of sediment and mass of water in the incubation vial. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_Respiration_Rate_mg_DO_per_L_per_H,milligrams per liter per hour,"Standard deviation of respiration rate in milligrams per liter per hour.  Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_SpC_microsiemens_per_cm,microsiemens per centimeter,"Standard deviation of specific conductance. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
stdev_Temperature_degC,degrees Celsius,"Standard deviation of temperature. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Stream_Name,N/A,Stream name.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Temperature_degC,degrees Celsius,"Temperature. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Term_Type,N/A,"Indicates how the term is used in the data package (e.g., a column_header, row header, data flag, or other variable).",text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Time_Zone,N/A,Local time zone.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Total_Incubation_Time_Min,minutes,Total time of dissolved raw oxygen measurements used for respiration rate calculation from laboratory sediment incubation.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Total_Water_Mass_g,grams,"Total water mass time series in less than 2 millimeter sediment samples during 21 day wet/dry incubation. For wet treatments, this includes mass of water in sediment plus added water. For dry treatments, this includes mass of water in sediment.  Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text,row_header; column_header,"""N/A""; ""-9999""; """"; ""NA"""
Unit_Basis,N/A,Basis of the units listed in the column.,text,row_header,"""N/A""; ""-9999""; """"; ""NA"""
Water_Depth_cm,centimeters,Vertical distance between water surface and bed of sampling location.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Water_Status,N/A,"Indicates the status of the water during sediment sampling.  One of the following classes may be selected: wet and flowing, wet and pooled, saturated (wet, no water on surface), damp wet but not saturated), and dry.",text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Weather,N/A,Weather conditions (sunny; partly cloudy; overcast; raining; other) during sample collection.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Wet_Sediment_Mass_Added_Water_g,grams,"The mass of wet sediment sieved to less than 2 millimeter with added water in the wet treatment vial during the 21 day wet/dry experiment to maintain constant water mass. Dry treatment samples will have ""-9999"" in this column indicating that no water was added. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Wet_Sediment_Mass_g,grams,Mass of wet sediment from less than 2 millimeter fraction.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
