Parent_ID,CM_Parent_ID,IGSN_Sample_Name,IGSN,Sample_Date,Sample_Latitude,Sample_Longitude,miniDOT_Date,miniDOT_Latitude,miniDOT_Longitude,miniDOT_Start_Time,miniDOT_End_Time,Time_Zone,miniDOT_SN,pH,Contact_First_Name,Contact_Last_Name,Organization,Site_ID,Site_Name,Stream_Name,City,State,Weather,Intermittent_or_Perennial,General_Vegetation,Hydrogeomorphology,River_Gradient,Sediment,Water_Depth_cm,Depositional_Type,Canopy_Coverage,Macrophyte_Coverage,Algal_Mat_Coverage,Sediment_Collection_Depth_cm,miniDOT_Notes,Additional_Sampling_Notes,Hydrograph_Online
EC_023,CM_023,CM_023_Sediment,10.58052/IEWDR01QP, 2022-09-12,44.556,-123.2769, 2022-09-12,44.556,-123.2769,11:39:00,13:04:00,Pacific Daylight Time (UTC-7),629457,6.25,Byron,Crump,Oregon State University,SP-9,MR01 Marys River,Marys River,Corvallis,Oregon,Overcast; partly sunny,Perennial,Needleleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Gravel/cobble (>2mm),8,Inside bend of stream,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor held in place with a stick stuck in the  sediment.  Sensor positioned closer to the main channel than the sediment sampling; which was about a half meter closer to the bank.,The second sediment RNAlater tube leaked during shipping and only contained 15 milliliters of RNAlater.  We added 0.2 micrometers filter sterilized homemade RNAlater up to a total of 30 milliliters prior to sampling. Sediments included a lot of organic materials that were served out including sticks; leaves; and some evergreen needles. Sampling site was in Avery Park in Corvallis OR. River flow was very slow. Sampling site was at the downriver end of a gravel bar positioned on an inside bend in the river. There were overhanging deciduous trees.,https://waterdata.usgs.gov/monitoring-location/14171000/ this site is some distance upriver from the sampling site.
EC_024,CM_024,CM_024_Sediment,10.58052/IEWDR01QQ, 2022-08-01,33.684,-84.4153, 2022-08-01,33.684,-84.4153,11:24:00,14:03:00,Eastern Daylight Time (UTC-4),755115,6,Shuo,Chen,Idaho State University; University of Georgia,SP-5,SR24,South River,Athens,Georgia,Very cloudy and slightly rainy during sampling,Perennial,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Bedrock (primarily),15,Downstream from obstacles,Partial coverage,No coverage,Full coverage,1-3 cm as described in the protocol,The sensor is deployed at the downstream of  USGS gauging station 02203603.,1. The labeled filter was broken when we filtered the first nutrient sample; so that we added RNA Later immediately to preserve it. However; we changed the new filter and it was broken again when we collected the second nutrient sample. Due to all of the needled filters broken; we failed to collect the third nutrient sample. 2. The 500 milliliter sediment cap is lost; I used a clean cap from my lab instead. 3. The second RNA sediment tube leaked solution in the ziploc; only 20 milliliters solution was left in it. We collect third one from the extra supplies and it was labeled as CM_24_MIC_3.,https://waterdata.usgs.gov/nwis/uv/?site_no=02203603&agency_cd=USGS
EC_027,CM_027,CM_027_Sediment,10.58052/IEWDR01QR, 2022-07-11,29.3338,-95.2832, 2022-07-11,29.3338,-95.2832,10:45:00,12:42:00,Central Daylight Time (UTC-5),441037,7.5,Bayani,Cardenas,University of Texas at Austin,MP-102322,Chocolate Bayou Public Boat Ramp,Chocolate Bayou,Liverpool,Texas,Sunny,Perennial,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),28,Hard to say; river was so slow flowing,No coverage,No coverage,Partial coverage,3-10cm in some places,N/A,River was pretty flat with steep incised banks near access point except a few feet away from a boat ramp structure; which is where I sampled. I was in ankle deep mud. I thought  placed the sensor upstream; but it was apparently downstream. However; the bayou was practically a swamp and hardly flowing. Also; there was animal carcass upstream (some large rodent like nutria).,N/A
EC_032,CM_032,CM_032_Sediment,10.58052/IEWDR01QT, 2022-10-03,46.804,-96.798, 2022-10-03,46.804,-96.798,9:33:00,11:22:00,Central Daylight Time (UTC-5),21119,7.6,Bernhardt,Saini-Eidukat,North Dakota State University,MP-101583,N/A,Red River of the North,Fargo,North Dakota,Partly cloudy,Perennial,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),16,Inside bend of stream,Partial coverage,No coverage,No coverage,3-10cm in some places,N/A,10 centimeter depth for sediment collection; Latitude and longitude are on shore (not of sensor in water).,N/A
EC_033,CM_033,CM_033_Sediment,10.58052/IEWDR01QU, 2022-09-05,32.4713,-111.3042, 2022-09-05,32.4713,-111.3042,9:59:00,11:38:00,Mountain Standard Time (UTC-7),951812,7.5,Viviana,Freire,University of Arizona,SP-13,Santa Cruz River at Trico Rd,Santa Cruz River,Tucson,Arizona,Sunny,Perennial,Needleleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),13,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap.,N/A,https://waterdata.usgs.gov/nwis/uv?site_no=09486520
EC_034,CM_034,CM_034_Sediment,10.58052/IEWDR01QV, 2022-08-30,46.4979,-84.3742, 2022-08-30,46.4979,-84.3742,8:42:00,10:00:00,Eastern Daylight Time (UTC-4),21119,6.5,Ashley,Moerke,Lake Superior State University,SP-14,Ashmun Bay,St. Marys River,Sault Sainte Marie,Michigan,Overcast; Very windy (around 15 mph),Perennial,Broadleaf deciduous tree; Shrub,Multi-channel,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),60,bay,No coverage,Partial coverage,Partial coverage,1-3 cm as described in the protocol,The DO sensor did not come with the black cap mentioned in the notes.,It was very windy and high turbidity during sampling.,N/A
EC_035,CM_035,CM_035_Sediment,10.58052/IEWDR01QW, 2022-10-17,45.0844,-92.7856, 2022-10-17,45.0844,-92.7856,10:31:00,12:44:00,Central Daylight Time (UTC-5),284528,6.5,Cara,Santelli,University of Minnesota,SP-6,St. Croix Boom Site,St. Croix,Stillwater,Minnesota,Overcast,Perennial,Broadleaf deciduous tree; Grass,Multi-channel,Relatively flat/gentle gradient (e.g.; valleys),Sand,16,Inside bend of stream,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,No photos taken.,N/A
EC_037,CM_037,CM_037_Sediment,10.58052/IEWDR01QX, 2022-10-31,41.3825,-72.8972, 2022-10-31,41.3825,-72.8972,11:25:00,12:32:00,Eastern Daylight Time (UTC-4),553257,6.5,Derrick,Vaughn,Yale University,MP-103089,N/A,Mill River,North Haven,Connecticut,Sunny,Perennial,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Sand,15,Inside bend of stream,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,N/A,Had trouble with getting the sediment passed from the sieve into the sample bottle so we ended up not using the sieve. Most of the sediment was also larger than 2 millimeters in size so we were not getting much to pass through. We also did not get a photo of the exposed shoreline sediments. We forgot a ruler but used a fireball bottle for scale. Fireball bottle was later measured to be 13 centimeters in height.,https://waterdata.usgs.gov/monitoring-location/01196620/#parameterCode=00065&period=P7D
EC_038,CM_038,CM_038_Sediment,10.58052/IEWDR01QY, 2022-10-31,41.5236,-72.2067, 2022-10-31,41.5236,-72.2067,8:33:00,10:15:00,Eastern Daylight Time (UTC-4),179957,6,Derrick,Vaughn,Yale University,MP-100057,N/A,Yantic River,Norwich,Connecticut,Partly cloudy,Perennial,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Gravel/cobble (>2mm),32,Inside bend of stream,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,N/A,Had trouble with getting the sediment passed from the sieve into the sample bottle so we ended up not using the sieve. Most of the sediment was also larger than 2 millimeters in size so we were not getting much to pass through. We also did not get a photo of the exposed shoreline sediments.,https://water.weather.gov/ahps2/hydrograph.php?gage=ytcc3&wfo=okx
EC_039,CM_039,CM_039_Sediment,10.58052/IEWDR01QZ, 2022-10-24,30.2457,-97.6915, 2022-10-24,30.2457,-97.6915,15:20:00,16:20:00,Central Daylight Time (UTC-5),21119,7.5,Bayani,Cardenas,University of Texas at Austin,MP-102338,Lower Colorado River Hwy183 Bridge,Lower Colorado River,Austin,Texas,Partly cloudy,Perennial,Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Sand,25,Shallow waters near the shore,No coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,N/A,https://waterdata.usgs.gov/nwis/uv?site_no=08158000
EC_040,CM_040,CM_040_Sediment,10.58052/IEWDR01R0, 2022-10-16,30.4384,-91.1912, 2022-10-16,30.4384,-91.1912,8:45:00,10:22:00,Central Daylight Time (UTC-5),443657,7.75,Yi-Jun,Xu,Louisiana State University,SP-15,N/A,Mississippi RIver,Baton Rouge,Louisiana,Partly cloudy,Perennial,Shrub; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),20,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,https://waterdata.usgs.gov/usa/nwis/uv?site_no=07374000
EC_041,CM_041,CM_041_Sediment,10.58052/IEWDR01R1, 2022-10-10,37.3724,-80.8599, 2022-10-10,37.3724,-80.8599,11:00:00,12:40:00,Eastern Daylight Time (UTC-4),186138,6,Ryan,Stewart,Virginia Tech,MP-101143,N/A,New River,Glen Lyn,Virginia,Sunny,Perennial,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Sand,60,Shallow waters near the shore,No coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,There was an eddy that brought some sediment upstream to the sensor while we were sampling. Turbidity did not last long and did not obscure the sensor window from what I could tell.,N/A,N/A
EC_042,CM_042,CM_042_Sediment,10.58052/IEWDR01R2, 2022-10-10,37.0422,-80.5627, 2022-10-10,37.0422,-80.5627,14:45:00,15:45:00,Eastern Daylight Time (UTC-4),164227,6,Ryan,Stewart,Virginia Tech,MP-101142,N/A,Little River,Snowville,Virginia,Sunny,Perennial,Broadleaf deciduous tree; Shrub,Multi-channel,Relatively flat/gentle gradient (e.g.; valleys),Sand,10,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,N/A
EC_044,CM_044,CM_044_Sediment,10.58052/IEWDR01V0, 2022-12-05,42.47158,-72.33026, 2022-12-05,42.47158,-72.33026,9:38:00,11:02:00,Eastern Standard Time (UTC-5),284528,7,Ryan,Williams,National Ecological Observatory Network (NEON),HOPB,HOPB,Hop Brook,New Salem,Massachusetts,Sunny,Perennial,Broadleaf deciduous tree,Single-channel meandering,Relatively steep gradient (e.g.; mountainous or hilly terrain),Gravel/cobble (>2mm),11,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,https://data.neonscience.org/data-products/DP4.00130.001
EC_051,CM_051,CM_051_Sediment,10.58052/IEWDR01VC, 2023-01-24,45.792427,-121.928947, 2023-01-24,45.792427,-121.928947,12:27:00,14:43:00,Pacific Standard Time (UTC-8),806577,6.5,Benjamin,Shetterly,National Ecological Observatory Network (NEON),MART,MART,Martha Creek,Carson,Washington,Overcast,Perennial,Needleleaf evergreen tree; Broadleaf deciduous tree,Multi-channel,Relatively flat/gentle gradient (e.g.; valleys),Gravel/cobble (>2mm),11,Downstream from obstacles,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,https://data.neonscience.org/data-products/explore
EC_052,CM_052,CM_052_Sediment,10.58052/IEWDR01VF, 2023-03-20,45.792488,-121.92897, 2023-03-20,45.792488,-121.92897,13:49:00,16:01:00,Pacific Daylight Time (UTC-7),284528,6.5,Benjamin,Shetterly,National Ecological Observatory Network (NEON),MART,MART,Martha Creek,Carson,Washington,Overcast; Raining,Perennial,Needleleaf evergreen tree; Broadleaf deciduous tree,Multi-channel,Relatively steep gradient (e.g.; mountainous or hilly terrain),Gravel/cobble (>2mm),10,Downstream from obstacles,Partial coverage,Partial coverage,Partial coverage,1-3 cm as described in the protocol,Downstream of coarse wood.,N/A,https://data.neonscience.org/data-products/DP4.00130.001
EC_053,CM_053,CM_053_Sediment,10.58052/IEWDR01ZK, 2023-05-15,45.79222,-121.92839, 2023-05-15,45.79222,-121.92839,12:35:00,14:30:00,Pacific Daylight Time (UTC-7),629457,7.5,Megan,Palko,National Ecological Observatory Network (NEON),MART,MART,Martha Creek,Carson,Washington,Sunny,Perennial,Needleleaf evergreen tree; Broadleaf deciduous tree,Multi-channel,Relatively steep gradient (e.g.; mountainous or hilly terrain),Gravel/cobble (>2mm),20,Downstream from obstacles,Partial coverage,Partial coverage,Partial coverage,1-3 cm as described in the protocol,none,none,https://data.neonscience.org/
EC_056,CM_056,CM_056_Sediment,10.58052/IEWDR01VI, 2022-12-05,32.96328,-87.40916, 2022-12-05,32.96328,-87.40916,8:19:00,9:46:00,Central Standard Time (UTC-6),806577,6.5,Amanda,Jackson Mojica,National Ecological Observatory Network (NEON),MAYF,MAYF,Mayfield Creek,Moundville,Alabama,Overcast; rain the day before sampling,Perennial,Broadleaf evergreen tree; Broadleaf deciduous tree,Single-channel meandering,Relatively steep gradient (e.g.; mountainous or hilly terrain),Sand,27,Inside bend of stream,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,Measuring tape extended to 32cm; QR code for ICR_1 peeled off; MIC samples were collected with sieved sediment but not BSD sample (the site is mostly sand); BWT-1 was not filtered,N/A
EC_057,CM_057,CM_057_Sediment,10.58052/IEWDR01VL, 2023-02-06,32.96176,-87.40821, 2023-02-06,32.96176,-87.40821,11:17:00,12:35:00,Central Standard Time (UTC-6),809246,6,Amanda,Jackson Mojica,National Ecological Observatory Network (NEON),MAYF,MAYF,Mayfield Creek,Moundville,Alabama,Sunny,Perennial,Broadleaf evergreen tree; Broadleaf deciduous tree,Single-channel meandering,Relatively steep gradient (e.g.; mountainous or hilly terrain),Sand,15.5,Inside bend of stream,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,5m uncertainty for lat and long; measuring tape is extended to 33cm,N/A
EC_063,CM_063,CM_063_Sediment,10.58052/IEWDR01R4, 2022-11-14,43.0795,-71.0359, 2022-11-14,43.0795,-71.0359,9:28:00,11:24:00,Eastern Standard Time (UTC-5),186138,6,William,McDowell,University of New Hampshire,MP-100021,NOR27,North River,Epping,New Hampshire,Sunny; Cool (36 degreesF air temp); breezy,Perennial,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Sand,16,Inside bend of stream,No coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,USGS station 01073460 was previously located a short distance upstream.,We sampled downstream from the original site 19 on google maps at the route 125 crossing.  The original site 19 did not have depositional zone as it was mostly bedrock downstream and rocky upstream with barriers to access (personal property).  We have long-term data at the CM_063 site sampled (our site NOR27). Did not use sieve to pre-sieve sediments; but did pick out plant material and sediment greater than 2 millimeters.,https://waterdata.usgs.gov/nwis/dv/?referred_module=sw&site_no=01073460
EC_064,CM_064,CM_064_Sediment,10.58052/IEWDR01VR, 2022-12-12,33.6052817,-86.7497169, 2022-12-12,33.6052817,-86.7497169,11:45:00,13:26:00,Central Standard Time (UTC-6),443657,6.5,Corianne,Tatariw,University of Alabama,MP-101022,N/A,Five Mile Creek,Birmingham,Alabama,Overcast,Perennial,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Gravel/cobble (>2mm),60,Pool lip,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,N/A,N/A
EC_065,CM_065,CM_065_Sediment,10.58052/IEWDR01ZQ, 2023-05-01,32.845656,-87.661434, 2023-05-01,32.845656,-87.661434,10:49:00,12:40:00,Central Daylight Time (UTC-5),186138,6,Corianne,Tatariw,The University of Alabama,SP-22,Tanglewood Biological Station,Fivemile Creek Tributary,Akron,Alabama,Sunny,Perennial,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),33,Inside bend of stream,Full coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,N/A
EC_066,CM_066,CM_066_Sediment,10.58052/IEWDR01VU, 2022-11-27,44.640715,-68.445497, 2022-11-27,44.640715,-68.445497,10:03:00,11:37:00,Eastern Standard Time (UTC-5),179957,6,William,McDowell,University of New Hampshire,SP-16,N/A,Crawford Brook,Ellworth,Maine,Overcast,Intermittent,Needleleaf evergreen tree; Broadleaf evergreen tree,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Gravel/cobble (>2mm),14,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,N/A
EC_068,CM_068,CM_068_Sediment,10.58052/IEWDR01VX, 2023-03-06,30.1982931,-92.4631118, 2023-03-06,30.1982931,-92.4631118,11:12:00,13:27:00,Central Standard Time (UTC-6),755115,6.5,Mahpara,Mashiyat,University of Louisiana at Lafayette,MP-102277,N/A,Bayou Plaqemarine,Crowley,Louisiana,Overcast,Perennial,Needleleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),24.07,Inside bend of stream,No coverage,No coverage,No coverage,3-10cm in some places,The water was very turbid due to the cars crossing the floating bridge and boats docking in and out to the stream.,N/A,https://waterdata.usgs.gov/monitoring-location/08011020/#parameterCode=00065&period=P7D
EC_069,CM_069,CM_069_Sediment,10.58052/IEWDR01W0, 2023-01-23,40.66522,-111.84597, 2023-01-23,40.66522,-111.84597,11:00:00,12:30:00,Mountain Standard Time (UTC-7),284528,6.5,Alessandro,Zanazzi,Utah Valley University,MP-103975,N/A,Big Cottonwood Creek,Holladay,Utah,Sunny,Perennial,Broadleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Gravel/cobble (>2mm),28,Inside bend of stream,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,https://waterdata.usgs.gov/nwis/inventory/?site_no=10168499&agency_cd=USGS
EC_070,CM_070,CM_070_Sediment,10.58052/IEWDR01W3, 2023-01-09,43.71559,-72.41875, 2023-01-09,43.71559,-72.41875,12:43:00,14:23:00,Eastern Standard Time (UTC-5),21119,6,Douglas,Hardy,University of Massachusetts Geosciences,MP-100068,N/A,White River,West Hartford,Vermont,Partly cloudy,Perennial,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),33,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,In an eddy adjacent to main flow. Faintly visible in photo CM_070-up (note thin rope from sensor; attached to protruding log for security).,https://waterdata.usgs.gov/monitoring-location/01144000/#parameterCode=00060&period=P7D
EC_071,CM_071,CM_071_Sediment,10.58052/IEWDR01W6, 2023-04-03,40.989942,-96.20896, 2023-04-03,40.989942,-96.20896,11:09:00,12:50:00,Central Daylight Time (UTC-5),553257,6.5,Firnaaz,Ahamed,University of Nebraska-Lincoln (UNL),SP-17,N/A,Decker Creek,Louisville,Nebraska,Overcast,Perennial,Broadleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),23,Shallow waters near the shore,Partial coverage,No coverage,No coverage,More than 10 cm in some places,N/A,N/A,N/A
